species,year,w,alpha,in.hull,outlier,total
bchu,2012,54,5,1,0,1
bchu,2013,0,1.2,47,2,31
bchu,2013,1,5,6,0,3
bchu,2013,2,5,3,0,3
bchu,2013,3,5,5,0,4
bchu,2013,4,5,1,0,1
bchu,2013,5,5,12,0,11
bchu,2013,6,4.1,30,4,27
bchu,2013,7,1.3,49,4,36
bchu,2013,8,1.3,66,7,50
bchu,2013,9,1.2,111,10,77
bchu,2013,10,1.4,145,17,102
bchu,2013,11,1.2,192,15,133
bchu,2013,12,1.2,217,23,162
bchu,2013,13,1.2,275,13,216
bchu,2013,14,1.2,304,12,228
bchu,2013,15,1.2,341,27,263
bchu,2013,16,1.2,404,32,290
bchu,2013,17,1.2,319,29,250
bchu,2013,18,1.2,466,26,374
bchu,2013,19,1.2,424,34,322
bchu,2013,20,1.2,382,38,296
bchu,2013,21,1.2,333,30,264
bchu,2013,22,1.4,309,36,270
bchu,2013,23,1.2,264,40,239
bchu,2013,24,1.8,156,18,137
bchu,2013,25,1.5,193,22,169
bchu,2013,26,1.3,222,55,214
bchu,2013,27,1.8,174,22,163
bchu,2013,28,1.5,197,23,179
bchu,2013,29,1.4,252,27,210
bchu,2013,30,1.5,258,31,207
bchu,2013,31,1.6,182,31,157
bchu,2013,32,1.4,213,42,191
bchu,2013,33,1.3,239,27,208
bchu,2013,34,1.4,203,23,167
bchu,2013,35,1.6,206,23,174
bchu,2013,36,1.6,261,28,216
bchu,2013,37,1.4,294,32,209
bchu,2013,38,1.9,180,19,141
bchu,2013,39,1.7,193,23,160
bchu,2013,40,1.4,253,30,203
bchu,2013,41,1.3,137,26,126
bchu,2013,42,1.8,123,13,111
bchu,2013,43,1.8,150,20,136
bchu,2013,44,1.5,87,19,73
bchu,2013,45,1.5,53,15,50
bchu,2013,46,2,54,6,49
bchu,2013,47,2.8,35,4,30
bchu,2013,48,1.4,11,6,13
bchu,2013,49,5,15,0,13
bchu,2013,50,5,5,0,5
bchu,2013,51,5,3,0,3
bchu,2013,53,5,1,0,1
bchu,2013,54,5,1,0,1
bchu,2013,55,5,1,0,1
bchu,2013,56,5,2,0,2
bchu,2013,57,5,1,0,1
bchu,2013,58,5,2,0,2
bchu,2014,0,1.3,38,5,28
bchu,2014,3,5,2,0,2
bchu,2014,4,5,1,0,1
bchu,2014,5,5,5,1,5
bchu,2014,6,5,1,0,1
bchu,2014,7,5,4,0,4
bchu,2014,8,5,5,0,5
bchu,2014,9,1.9,19,3,19
bchu,2014,10,1.3,34,4,32
bchu,2014,11,1.3,53,7,48
bchu,2014,12,1.2,112,6,73
bchu,2014,13,1.2,184,9,118
bchu,2014,14,1.2,166,12,124
bchu,2014,15,1.2,244,16,169
bchu,2014,16,1.2,330,18,243
bchu,2014,17,1.2,386,19,264
bchu,2014,18,1.2,404,10,281
bchu,2014,19,1.2,500,13,338
bchu,2014,20,1.2,552,34,378
bchu,2014,21,1.2,500,39,362
bchu,2014,22,1.2,629,26,450
bchu,2014,23,1.2,556,23,418
bchu,2014,24,1.2,568,26,404
bchu,2014,25,1.2,453,32,349
bchu,2014,26,1.2,385,33,315
bchu,2014,27,1.2,347,30,284
bchu,2014,28,1.4,216,26,189
bchu,2014,29,1.2,267,30,240
bchu,2014,30,1.2,308,29,250
bchu,2014,31,1.3,271,29,229
bchu,2014,32,1.3,253,27,227
bchu,2014,33,1.2,317,34,244
bchu,2014,34,1.2,330,21,247
bchu,2014,35,1.2,246,41,221
bchu,2014,36,1.4,298,50,238
bchu,2014,37,1.2,320,33,256
bchu,2014,38,1.2,332,34,238
bchu,2014,39,1.2,309,32,230
bchu,2014,40,1.2,308,42,247
bchu,2014,41,1.3,342,36,249
bchu,2014,42,1.2,252,32,185
bchu,2014,43,1.2,274,24,218
bchu,2014,44,1.3,235,55,217
bchu,2014,45,1.4,223,28,170
bchu,2014,46,1.5,180,20,144
bchu,2014,47,1.3,163,19,130
bchu,2014,48,1.8,107,25,92
bchu,2014,49,2.3,90,8,71
bchu,2014,50,2.3,72,9,59
bchu,2014,51,2.9,44,5,36
bchu,2014,52,2.8,21,3,17
bchu,2014,53,2.2,15,8,17
bchu,2014,54,5,5,0,5
bchu,2014,55,5,4,0,4
bchu,2014,57,5,3,0,2
bchu,2014,58,5,1,0,1
bchu,2014,59,5,1,0,1
