species,year,w,alpha,in.hull,outlier,total
ruhu,2014,24,1.2,492,22,360
ruhu,2014,25,1.2,398,29,307
ruhu,2014,26,1.2,371,20,290
ruhu,2014,27,1.2,395,19,290
ruhu,2014,28,1.2,398,21,319
ruhu,2014,29,1.2,276,25,211
ruhu,2014,30,1.2,291,26,239
ruhu,2014,31,1.2,324,28,267
ruhu,2014,32,1.6,231,26,207
ruhu,2014,33,2.1,302,34,276
ruhu,2014,34,1.5,324,38,269
ruhu,2014,35,1.2,388,40,326
ruhu,2014,36,1.2,376,43,315
ruhu,2014,37,1.2,403,35,331
ruhu,2014,38,1.2,457,23,370
ruhu,2014,39,1.2,444,50,351
ruhu,2014,40,1.2,384,45,308
ruhu,2014,41,1.3,379,42,297
ruhu,2014,42,1.2,393,45,306
ruhu,2014,43,1.6,280,36,226
ruhu,2014,44,1.2,306,40,247
ruhu,2014,45,1.2,295,38,243
ruhu,2014,46,1.9,214,30,164
ruhu,2014,47,1.6,145,39,131
ruhu,2014,48,1.8,105,17,95
ruhu,2014,49,1.9,91,11,76
ruhu,2014,50,1.7,51,16,52
ruhu,2014,51,1.8,31,13,35
ruhu,2014,52,5,13,0,12
ruhu,2014,53,5.3,14,2,13
ruhu,2014,54,5,14,0,11
ruhu,2014,55,5,3,0,3
ruhu,2014,56,5,5,0,5
ruhu,2014,57,5,2,0,2
ruhu,2014,59,5,5,0,5
ruhu,2014,60,5,1,0,1
ruhu,2014,61,5,2,0,2
